"length (seconds)","peaks","peaks per sec","nodturn","nodturn per sec","peak max prom","peak mean prom","extremes amplitude","velocity","timestamp","camera","transcript","nod"
"0.34","0","0.0","1","2.9411764705882355","0","0","0.014423378227958361","0.17874366640654726","0:1:52.120","a","dgskorpus_nue_06_calendar_task","feedback"
"0.98","2","2.0408163265306123","4","4.081632653061225","0.04932083588064318","0.03805578413165778","0.04932083588064318","0.43859726731894366","0:2:6.820","a","dgskorpus_nue_06_calendar_task","feedback"
"0.5","0","0.0","0","0.0","0","0","0.0062471696733361615","0.069053505712414","0:2:8.580","a","dgskorpus_nue_06_calendar_task","feedback"
"0.86","1","1.1627906976744187","2","2.3255813953488373","0.019753225203531732","0.019753225203531732","0.019753225203531732","0.19203946935508967","0:2:13.0","a","dgskorpus_nue_06_calendar_task","feedback"
"0.6","0","0.0","0","0.0","0","0","0.007378737251316547","0.0919487237917843","0:2:57.380","a","dgskorpus_nue_06_calendar_task","feedback"
"2.7","5","1.8518518518518519","10","3.7037037037037037","0.019362765456046427","0.01393607227408098","0.019362765456046427","0.17595473995366256","0:2:58.660","a","dgskorpus_nue_06_calendar_task","feedback"
"2.14","3","1.4018691588785046","5","2.336448598130841","0.02137385569413075","0.017947188925688584","0.05391652234792521","0.17415262491051783","0:3:15.100","a","dgskorpus_nue_06_calendar_task","feedback"
"1.06","1","0.9433962264150944","2","1.8867924528301887","0.026211135009668762","0.026211135009668762","0.028611998073492018","0.19739501409918359","0:3:19.40","a","dgskorpus_nue_06_calendar_task","feedback"
"1.42","3","2.112676056338028","6","4.225352112676056","0.03068188382540593","0.019338604074906247","0.03855753518819949","0.23970123201253532","0:3:20.520","a","dgskorpus_nue_06_calendar_task","feedback"
"0.46","0","0.0","1","2.1739130434782608","0","0","0.0077421292988089085","0.11073063297545215","0:4:7.260","a","dgskorpus_nue_06_calendar_task","feedback"
"2.8","8","2.857142857142857","17","6.071428571428571","0.03778742836512827","0.02394534819807287","0.06954527477071881","0.42792103315573027","0:0:14.460","b","dgskorpus_nue_06_calendar_task","feedback"
"2.9","5","1.7241379310344827","11","3.793103448275862","0.12726702706450066","0.038418124695429955","0.12726702706450066","0.33297546972199576","0:0:21.60","b","dgskorpus_nue_06_calendar_task","feedback"
"1.22","2","1.639344262295082","3","2.459016393442623","0.02662298835674659","0.020620247962805816","0.019939452799769164","0.2610682627824179","0:0:31.600","b","dgskorpus_nue_06_calendar_task","feedback"
"1.98","8","4.040404040404041","16","8.080808080808081","0.06536157456455771","0.02988875628346524","0.06536157456455771","0.5222890220136506","0:0:33.200","b","dgskorpus_nue_06_calendar_task","feedback"
"1.42","1","0.704225352112676","3","2.112676056338028","0.012469784061565292","0.012469784061565292","0.039254868160617074","0.1856445729297107","0:0:56.120","b","dgskorpus_nue_06_calendar_task","feedback"
"7.5","14","1.8666666666666667","29","3.8666666666666667","0.1033863475920429","0.03242772450672991","0.11063075564542557","0.3061265948870598","0:1:21.300","b","dgskorpus_nue_06_calendar_task","feedback"
"2.86","5","1.7482517482517483","11","3.8461538461538463","0.09123180620889326","0.035925227448541985","0.10210632328566738","0.34991951914388575","0:1:29.860","b","dgskorpus_nue_06_calendar_task","feedback"
"2.86","6","2.097902097902098","13","4.545454545454546","0.10334537295851653","0.05025855790235845","0.14678589718185853","0.519561564441679","0:1:58.320","b","dgskorpus_nue_06_calendar_task","feedback"
"3.28","4","1.2195121951219512","9","2.7439024390243905","0.022613898713864433","0.017443031969841316","0.0410354081105484","0.20381261342162696","0:2:12.220","b","dgskorpus_nue_06_calendar_task","feedback"
"2.98","3","1.0067114093959733","7","2.348993288590604","0.027207414522135265","0.017827772220104936","0.027225060587247496","0.1632182743455581","0:2:16.560","b","dgskorpus_nue_06_calendar_task","feedback"
"4.7","5","1.0638297872340425","11","2.3404255319148937","0.11291104999097179","0.03806372061243901","0.09870384237851804","0.22355211674735498","0:2:20.440","b","dgskorpus_nue_06_calendar_task","feedback"
"0.74","1","1.3513513513513513","2","2.7027027027027026","0.01518438199648564","0.01518438199648564","0.01518438199648564","0.16625957890356774","0:2:25.800","b","dgskorpus_nue_06_calendar_task","feedback"
"2.34","6","2.5641025641025643","12","5.128205128205129","0.14482781046036663","0.04116021693516947","0.08574287975065942","0.3476130800145395","0:2:39.460","b","dgskorpus_nue_06_calendar_task","feedback"
"2.58","5","1.937984496124031","10","3.875968992248062","0.0727465888022123","0.030926440667149047","0.0727465888022123","0.28656268403137175","0:3:23.180","b","dgskorpus_nue_06_calendar_task","feedback"
"2.34","4","1.7094017094017093","8","3.4188034188034186","0.055849667839025674","0.026220813087301398","0.06104276869177827","0.24327046523933005","0:3:30.260","b","dgskorpus_nue_06_calendar_task","feedback"
"5.94","14","2.356902356902357","28","4.713804713804714","0.19053769744324756","0.04430563524381169","0.15375800987422217","0.41474045739467047","0:3:34.580","b","dgskorpus_nue_06_calendar_task","feedback"
"3.1","5","1.6129032258064515","10","3.225806451612903","0.10570472571082301","0.04639401096803075","0.10570472571082301","0.3502568840272308","0:3:41.820","b","dgskorpus_nue_06_calendar_task","feedback"
"0.78","0","0.0","0","0.0","0","0","0.012433375197724805","0.14152040650228936","0:3:50.940","b","dgskorpus_nue_06_calendar_task","feedback"
"1.3","3","2.3076923076923075","6","4.615384615384615","0.11193522786788335","0.04858913654020114","0.11835000826265851","0.5866587764674038","0:3:55.120","b","dgskorpus_nue_06_calendar_task","feedback"
"0.82","4","4.878048780487805","7","8.536585365853659","0.04631958268046521","0.023747210235493865","0.03806919744016901","0.44616079270933806","0:3:58.740","b","dgskorpus_nue_06_calendar_task","feedback"
"1.98","4","2.0202020202020203","7","3.5353535353535355","0.2010488524485008","0.10108177501805532","0.21256821302985895","0.7910869017977064","0:3:59.860","b","dgskorpus_nue_06_calendar_task","feedback"
"4.02","7","1.7412935323383085","13","3.2338308457711444","0.15681374713284968","0.08821614909700348","0.16468087319045543","0.6448514925539637","0:4:2.140","b","dgskorpus_nue_06_calendar_task","feedback"
"0.66","2","3.0303030303030303","4","6.0606060606060606","0.062683404561785","0.05881618680164269","0.0750997076343689","0.7682826324442206","0:4:9.780","b","dgskorpus_nue_06_calendar_task","feedback"
"1.4","2","1.4285714285714286","4","2.857142857142857","0.020018997082822843","0.017236637398172716","0.03225309597598591","0.1802815176499878","0:0:6.160","a","dgskorpus_fra_01_deaf_events","feedback"
"1.82","2","1.098901098901099","3","1.6483516483516483","0.06227532363787924","0.0377098813261163","0.04874493926706558","0.21607308885428378","0:0:9.880","a","dgskorpus_fra_01_deaf_events","feedback"
"0.7","0","0.0","1","1.4285714285714286","0","0","0.014541696625707257","0.13862299767474676","0:0:15.900","a","dgskorpus_fra_01_deaf_events","feedback"
"0.34","0","0.0","0","0.0","0","0","0.006697435731862544","0.10484354920990008","0:0:17.820","a","dgskorpus_fra_01_deaf_events","feedback"
"1.7","4","2.3529411764705883","7","4.117647058823529","0.16064030276264196","0.06423081845986373","0.0938575396131589","0.4508539085464109","0:0:37.60","a","dgskorpus_fra_01_deaf_events","feedback"
"1.1","2","1.8181818181818181","5","4.545454545454546","0.05357157877521335","0.036837211432144024","0.05357157877521335","0.315178728493845","0:0:46.220","a","dgskorpus_fra_01_deaf_events","feedback"
"1.86","4","2.150537634408602","8","4.301075268817204","0.026185275796738683","0.01665799107505167","0.030994214426242284","0.1844511997755212","0:1:15.980","a","dgskorpus_fra_01_deaf_events","feedback"
"1.28","4","3.125","7","5.46875","0.1312219125791948","0.04538705762532533","0.0537387029859302","0.3114007630235478","0:1:48.780","a","dgskorpus_fra_01_deaf_events","feedback"
"0.64","1","1.5625","1","1.5625","0.17704160516533873","0.17704160516533873","0.05395536100050391","0.22748667285985424","0:2:7.700","a","dgskorpus_fra_01_deaf_events","feedback"
"1.44","2","1.3888888888888888","4","2.7777777777777777","0.032965948551588964","0.023493996386544036","0.032965948551588964","0.20499395024110062","0:2:9.80","a","dgskorpus_fra_01_deaf_events","feedback"
"1.12","2","1.7857142857142858","3","2.6785714285714284","0.024217756545328317","0.019477274053440574","0.023122002498343175","0.15930901330376074","0:2:18.520","a","dgskorpus_fra_01_deaf_events","feedback"
"1.16","1","0.8620689655172413","2","1.7241379310344827","0.012830658877873491","0.012830658877873491","0.028124251972336145","0.17548933054579427","0:2:23.940","a","dgskorpus_fra_01_deaf_events","feedback"
"3.2","5","1.5625","10","3.125","0.07378853393251772","0.04361001099905959","0.07378853393251772","0.2999265257364771","0:2:29.560","a","dgskorpus_fra_01_deaf_events","feedback"
"1.14","4","3.508771929824561","7","6.140350877192983","0.023225550865034306","0.014973153668154993","0.02025676590862968","0.23963373363877377","0:2:48.140","a","dgskorpus_fra_01_deaf_events","feedback"
"0.58","1","1.7241379310344827","1","1.7241379310344827","0.021700235593639983","0.021700235593639983","0.015754267055349214","0.17820719836823143","0:2:57.820","a","dgskorpus_fra_01_deaf_events","feedback"
"1.14","1","0.8771929824561403","2","1.7543859649122806","0.010153115682748126","0.010153115682748126","0.010153115682748126","0.10665662767369219","0:3:6.400","a","dgskorpus_fra_01_deaf_events","feedback"
"1.14","0","0.0","1","0.8771929824561403","0","0","0.10286737844324789","0.3897667198514456","0:3:11.540","a","dgskorpus_fra_01_deaf_events","feedback"
"4.92","5","1.016260162601626","10","2.032520325203252","0.018055602149520178","0.01570472272153376","0.02455114122420432","0.1322778405244008","0:3:14.20","a","dgskorpus_fra_01_deaf_events","feedback"
"0.72","2","2.7777777777777777","3","4.166666666666667","0.019947425748414904","0.014974566687736779","0.028438788316595964","0.22736077827335208","0:3:20.520","a","dgskorpus_fra_01_deaf_events","feedback"
"0.9","1","1.1111111111111112","2","2.2222222222222223","0.021708527304330705","0.021708527304330705","0.029047250822374027","0.14823839287707483","0:3:24.780","a","dgskorpus_fra_01_deaf_events","feedback"
"4.36","6","1.3761467889908257","12","2.7522935779816513","0.14950285178885414","0.03963426142513404","0.20472848862937854","0.3071417105556223","0:3:29.680","a","dgskorpus_fra_01_deaf_events","feedback"
"2.06","4","1.941747572815534","9","4.368932038834951","0.03538923163699481","0.022471527396117796","0.03706860162497638","0.21933448502186428","0:3:35.60","a","dgskorpus_fra_01_deaf_events","feedback"
"0.3","1","3.3333333333333335","1","3.3333333333333335","0.01780881490829911","0.01780881490829911","0.027039582168151277","0.32308313044115966","0:0:0.0","b","dgskorpus_fra_01_deaf_events","feedback"
"2.18","3","1.3761467889908257","5","2.293577981651376","0.11810022162413647","0.09204076538429791","0.12457389887834136","0.4653247788230199","0:0:30.500","a","dgskorpus_ber_07_deaf_event","feedback"
"4.84","11","2.272727272727273","23","4.75206611570248","0.29118508856841796","0.07942588377101446","0.29254565062915683","0.730623952235936","0:0:34.760","a","dgskorpus_ber_07_deaf_event","feedback"
"2.58","4","1.550387596899225","8","3.10077519379845","0.1020214300614557","0.0512022748329935","0.1020214300614557","0.3124905383366908","0:0:45.540","a","dgskorpus_ber_07_deaf_event","feedback"
"0.86","2","2.3255813953488373","3","3.488372093023256","0.015918776637579235","0.014560684935223556","0.019926121482013226","0.20773507348596218","0:0:51.200","a","dgskorpus_ber_07_deaf_event","feedback"
"1.74","3","1.7241379310344827","5","2.8735632183908044","0.11447004020884788","0.04796769638117023","0.04929622388267196","0.2170593284831131","0:3:24.180","a","dgskorpus_ber_07_deaf_event","feedback"
"0.74","1","1.3513513513513513","2","2.7027027027027026","0.053649061866603454","0.053649061866603454","0.04205481929526056","0.26328582488583446","0:3:50.480","a","dgskorpus_ber_07_deaf_event","feedback"
"1.58","2","1.2658227848101267","4","2.5316455696202533","0.05598816920925431","0.052008194425163135","0.11300526065448868","0.39651973695359305","0:3:52.520","a","dgskorpus_ber_07_deaf_event","feedback"
"5.7","12","2.1052631578947367","24","4.2105263157894735","0.12349548786391829","0.04580650447049902","0.12349548786391829","0.40434286602739944","0:4:0.160","a","dgskorpus_ber_07_deaf_event","feedback"
"0.3","1","3.3333333333333335","2","6.666666666666667","0.011786513418665656","0.011786513418665656","0.014208119441943001","0.2353857899678315","0:4:6.420","a","dgskorpus_ber_07_deaf_event","feedback"
"2.92","3","1.0273972602739727","6","2.0547945205479454","0.1134660419861222","0.0945533177591591","0.10449468057455169","0.36717315777463544","0:4:19.980","a","dgskorpus_ber_07_deaf_event","feedback"
